,Stage,Pressure [Pa],Enthalpy [kJ/kg],Entropy [kJ/kg-K]
0,a,101325.0,288.299988,6.657020096789114
1,0a,101325.0,288.299988,6.657020096789114
2,01,1.01325,288.299988,6.657020096789114
3,02i,9.3219,543.819214,6.657020096789114
4,02,9.3219,572.2102391111112,6.708483384307881
5,03,9.042243,1808.9231293252906,8.048819305907022
6,04i,4.50564201086995,1515.592236011236,8.048819305907022
7,04,4.50564201086995,1533.1920896100794,8.061715895030877
8,045i,2.0817775831419243,1255.1398948736173,8.061715895030877
9,045,2.0817775831419243,1271.8230265578052,8.076252984799183
10,5i,1.128,1097.817030341586,8.076252984799183
11,5,1.128,1097.817030341586,8.076252984799183
